,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,10,1941,1946,922.35,925.5040138982467,31.54013898246717,0.003419541278524063,2020-09-07 14:45:00,2020-09-07 15:10:00,0 days 00:25:00
1,9,4892,4895,1071.8,1078.5954591958994,61.1591327630947,0.006340230636218802,2020-11-03 10:40:00,2020-11-03 10:55:00,0 days 00:15:00
2,-8,7874,7876,1241.9,1246.5388427107355,-37.11074168588311,-0.0037352787750506433,2020-12-31 14:20:00,2020-12-31 14:30:00,0 days 00:10:00
3,-7,8850,8864,1319.0,1314.6711571272158,30.301900109489452,0.0032819127162883044,2021-01-19 14:10:00,2021-01-19 15:20:00,0 days 01:10:00
4,-7,9160,9160,1341.15,1336.5035631944031,32.52505763917884,0.0034645168740237153,2021-01-25 15:00:00,2021-01-25 15:00:00,0 days 00:00:00
5,-7,11758,11763,1389.05,1383.0466125319108,42.02371227662411,0.004321937632258854,2021-03-17 15:05:00,2021-03-18 09:15:00,0 days 18:10:00
6,-7,13039,13121,1338.0,1369.5530573470198,-220.8714014291388,-0.023582255117354123,2021-04-15 09:20:00,2021-04-16 09:55:00,1 days 00:35:00
7,-7,13184,13184,1356.6,1352.8189165522422,26.46758413430416,0.0027871763583647846,2021-04-16 15:10:00,2021-04-16 15:10:00,0 days 00:00:00
8,6,16409,16410,1501.45,1506.4375964376964,29.925578626177867,0.003321853167069344,2021-06-18 15:10:00,2021-06-18 15:15:00,0 days 00:05:00
9,-6,17996,18030,1541.2,1549.8115014581015,-51.669008748608576,-0.005587530144109509,2021-07-20 09:55:00,2021-07-20 12:45:00,0 days 02:50:00
