date,Open,High,Low,Close,Volume
24/11/22 0:00,16603.11,16627.06,16553.05,16561.23,78976208.55
23/11/22 23:00,16511.59,16676.72,16497.21,16603.11,161128670.6
23/11/22 22:00,16488.41,16541.5,16459.43,16512.51,80587573.33
23/11/22 21:00,16617.47,16620.76,16478.57,16488.41,120922666.4
23/11/22 20:00,16473.32,16625,16426.42,16617.47,160276000.4
23/11/22 19:00,16527.81,16706,16395.16,16473.32,369026690.8
23/11/22 18:00,16390.51,16582.22,16380,16527.81,171592690.7
23/11/22 17:00,16335.33,16400.86,16328.11,16391.62,134483515.7
23/11/22 16:00,16427.09,16465.63,16320.02,16334.35,152632353
23/11/22 15:00,16464.98,16511.03,16401.97,16427.11,169665685.4
23/11/22 14:00,16395.48,16488.25,16342.98,16464.98,243463624.2
23/11/22 13:00,16514.03,16546,16382.9,16394.33,208149995.4
23/11/22 12:00,16585.21,16604.1,16485.14,16513.59,178429356.3
23/11/22 11:00,16610.97,16642.6,16566.66,16585.77,163945708.9
23/11/22 10:00,16565.77,16677.25,16531,16611.45,207655444.6
23/11/22 9:00,16541.86,16600,16519.71,16566.38,167355068.4
23/11/22 8:00,16583.84,16637,16500,16541.86,187735599.9
23/11/22 7:00,16499.81,16662.1,16461.93,16583.84,227907063.6
23/11/22 6:00,16463.54,16522.2,16445.94,16499.8,153721336.1
23/11/22 5:00,16508.13,16536.99,16444,16464.07,139044847.7
23/11/22 4:00,16584.66,16589.99,16484.95,16508.13,146075955.8
23/11/22 3:00,16512.44,16593.8,16462.2,16586.55,202117268.2
23/11/22 2:00,16220.74,16570.02,16213.04,16512.44,384740963.3
23/11/22 1:00,16183.16,16234.6,16160.2,16220.74,108650131.8
23/11/22 0:00,16227.96,16261.58,16168.26,16183.16,128734408
22/11/22 23:00,16186,16235.61,16156.5,16226.94,106524645.5
22/11/22 22:00,16145.77,16254.99,16100.68,16184.9,103812832.8
22/11/22 21:00,16134.85,16180,16085.54,16147.13,103904167.5
22/11/22 20:00,16167.49,16193.07,16128,16135.92,91228578.24
22/11/22 19:00,16139.44,16246.34,16100.82,16168.38,145914579.1
22/11/22 18:00,16080.84,16174.23,16049.87,16140.29,147759148.4
22/11/22 17:00,16171.69,16209.88,16060.01,16081.97,146159296.6
22/11/22 16:00,16241.3,16290.27,16153.71,16171.69,174543477
22/11/22 15:00,16117.28,16315,16113.88,16241.3,256446888.9
22/11/22 14:00,16171.01,16218,16039.88,16117.28,232716353.2
22/11/22 13:00,15835.3,16218,15827.55,16171.01,435355097.8
22/11/22 12:00,15747.88,15863.2,15683.33,15836.41,199382228.6
22/11/22 11:00,15796.44,15816.09,15701,15747.88,126803519
22/11/22 10:00,15687.97,15824.16,15661.21,15797.3,130771417.8
22/11/22 9:00,15729.98,15775.69,15669.24,15687.97,121700827.9
22/11/22 8:00,15760.42,15769.99,15660,15729.98,160092388.2
22/11/22 7:00,15687.47,15781.34,15616.63,15760.42,155217410.9
22/11/22 6:00,15804.23,15821.71,15661,15687.47,187116886.9
22/11/22 5:00,15822.79,15882.87,15773.78,15803.9,117032851.3
22/11/22 4:00,15848.53,15868,15800.03,15822.79,89898917.98
22/11/22 3:00,15900.14,15927.37,15833.6,15847.82,114990206
22/11/22 2:00,15812.06,15920.33,15770.01,15900.14,154515709.6
22/11/22 1:00,15866.48,15899.92,15800,15812.06,116921961
22/11/22 0:00,15781.29,15967.76,15746.16,15866.48,204803213.4
21/11/22 23:00,15739.38,15857.07,15726.38,15781.29,133354937.2
21/11/22 22:00,15648.23,15869.41,15614.96,15740.27,243113733.3
21/11/22 21:00,15785.27,15852.24,15476,15649.52,280523360.5
21/11/22 20:00,15721.51,15894.74,15709.76,15785.27,249604836
21/11/22 19:00,15971.36,16006.38,15589.68,15722.98,370506292.9
21/11/22 18:00,16015.22,16040.53,15930,15971.36,198761543.1
21/11/22 17:00,16032.24,16075.59,15977.77,16015.22,173912471.7
21/11/22 16:00,16130.45,16139.19,15906.52,16032.24,313077938.7
21/11/22 15:00,16163.83,16175.23,16109.74,16130.45,140096142.4
21/11/22 14:00,16176.56,16250,16146.21,16163.83,175248221.2
